stage,active_vectors,index_elements,ef_search,qps,recall_at_k,mci_route_ratio,query_count,search_count,search_threads,build_seconds,mutation_seconds,index_memory_bytes,mci_memory_bytes,mci_total_nodes,mci_covered_nodes,mci_total_cliques,mci_delta_cliques,mci_retired_cliques,inactive_nodes,mci_raw_float_ratio,flush_seconds,remove_mode,vector_memory_bytes,graph_memory_bytes,stage_rss_bytes
initial_100pct,10000,10000,40,71327.51888,0.9895,1,200,50000,16,0.755605922,0,153692005,1336793,10000,10000,1433,0,0,0,1,0,force,15728896,135611620,215445504
initial_100pct,10000,10000,80,59700.35827,0.9915,1,200,50000,16,0.755605922,0,153692005,1336793,10000,10000,1433,0,0,0,1,0,force,15728896,135611620,215445504
initial_100pct,10000,10000,160,52425.05623,0.994,1,200,50000,16,0.755605922,0,153692005,1336793,10000,10000,1433,0,0,0,1,0,force,15728896,135611620,215445504
delete_10pct,9000,9000,40,77057.08845,0.972,1,200,50000,16,0.755605922,0.967366156,151673081,1049413,9000,9000,1433,0,0,0,1,0,force,13824256,135792156,215490560
delete_10pct,9000,9000,80,64371.71968,0.9745,1,200,50000,16,0.755605922,0.967366156,151673081,1049413,9000,9000,1433,0,0,0,1,0,force,13824256,135792156,215490560
delete_10pct,9000,9000,160,56602.85254,0.9775,1,200,50000,16,0.755605922,0.967366156,151673081,1049413,9000,9000,1433,0,0,0,1,0,force,13824256,135792156,215490560
delete_20pct,8000,8000,40,83296.1287,0.975,1,200,50000,16,0.755605922,0.895028029,150096117,977781,8000,8000,1433,0,0,0,1,0,force,12288256,135912376,213999616
delete_20pct,8000,8000,80,69515.67242,0.9775,1,200,50000,16,0.755605922,0.895028029,150096117,977781,8000,8000,1433,0,0,0,1,0,force,12288256,135912376,213999616
delete_20pct,8000,8000,160,61395.94285,0.9805,1,200,50000,16,0.755605922,0.895028029,150096117,977781,8000,8000,1433,0,0,0,1,0,force,12288256,135912376,213999616
add_back_10pct,9000,9000,40,79888.68413,0.9725,1,200,50000,16,0.755605922,0.556733211,152269450,1288058,9000,9000,1862,429,0,0,1,0,force,14156032,135934392,215494656
add_back_10pct,9000,9000,80,67242.10668,0.9745,1,200,50000,16,0.755605922,0.556733211,152269450,1288058,9000,9000,1862,429,0,0,1,0,force,14156032,135934392,215494656
add_back_10pct,9000,9000,160,58614.54992,0.9775,1,200,50000,16,0.755605922,0.556733211,152269450,1288058,9000,9000,1862,429,0,0,1,0,force,14156032,135934392,215494656
add_back_20pct,10000,10000,40,78024.15342,0.9895,1,200,50000,16,0.755605922,0.572517563,154007178,1331750,10000,10000,2166,733,0,0,1,0,force,15728896,135968028,217780224
add_back_20pct,10000,10000,80,66083.49847,0.9915,1,200,50000,16,0.755605922,0.572517563,154007178,1331750,10000,10000,2166,733,0,0,1,0,force,15728896,135968028,217780224
add_back_20pct,10000,10000,160,57449.3949,0.994,1,200,50000,16,0.755605922,0.572517563,154007178,1331750,10000,10000,2166,733,0,0,1,0,force,15728896,135968028,217780224
