stage,active_vectors,index_elements,ef_search,qps,recall_at_k,mci_route_ratio,query_count,search_count,search_threads,build_seconds,mutation_seconds,index_memory_bytes,mci_memory_bytes,mci_total_nodes,mci_covered_nodes,mci_total_cliques,mci_delta_cliques,mci_retired_cliques,inactive_nodes,mci_raw_float_ratio,flush_seconds,remove_mode,vector_memory_bytes,graph_memory_bytes,stage_rss_bytes
initial_100pct,10000,10000,40,71724.67239,0.986,1,200,50000,16,0.693132442,0,152404191,1415079,10000,10000,1431,0,0,0,1,0,mark,15728896,134242208,212164608
initial_100pct,10000,10000,80,59658.00495,0.9885,1,200,50000,16,0.693132442,0,152404191,1415079,10000,10000,1431,0,0,0,1,0,mark,15728896,134242208,212164608
initial_100pct,10000,10000,160,52431.57726,0.993,1,200,50000,16,0.693132442,0,152404191,1415079,10000,10000,1431,0,0,0,1,0,mark,15728896,134242208,212164608
delete_10pct,9000,9000,40,71838.53919,0.9855,1,200,50000,16,0.693132442,0.005504807,152417159,1415079,10000,9000,1431,0,0,1000,1,0,mark,15728896,134242208,212328448
delete_10pct,9000,9000,80,59928.15865,0.9885,1,200,50000,16,0.693132442,0.005504807,152417159,1415079,10000,9000,1431,0,0,1000,1,0,mark,15728896,134242208,212328448
delete_10pct,9000,9000,160,52505.94124,0.994,1,200,50000,16,0.693132442,0.005504807,152417159,1415079,10000,9000,1431,0,0,1000,1,0,mark,15728896,134242208,212328448
delete_20pct,8000,8000,40,73373.16609,0.9675,1,200,50000,16,0.693132442,0.005318389,152425159,1415079,10000,8000,1431,0,0,2000,1,0,mark,15728896,134242208,212328448
delete_20pct,8000,8000,80,60476.66342,0.97,1,200,50000,16,0.693132442,0.005318389,152425159,1415079,10000,8000,1431,0,0,2000,1,0,mark,15728896,134242208,212328448
delete_20pct,8000,8000,160,53057.86527,0.9755,1,200,50000,16,0.693132442,0.005318389,152425159,1415079,10000,8000,1431,0,0,2000,1,0,mark,15728896,134242208,212328448
add_back_10pct,9000,9000,40,70644.41509,0.9855,1,200,50000,16,0.693132442,0.68983472,154390762,1791446,11000,9000,1864,433,0,2000,1,0,mark,17301760,134244868,215715840
add_back_10pct,9000,9000,80,55990.72442,0.9885,1,200,50000,16,0.693132442,0.68983472,154390762,1791446,11000,9000,1864,433,0,2000,1,0,mark,17301760,134244868,215715840
add_back_10pct,9000,9000,160,49111.56371,0.994,1,200,50000,16,0.693132442,0.68983472,154390762,1791446,11000,9000,1864,433,0,2000,1,0,mark,17301760,134244868,215715840
add_back_20pct,10000,10000,40,70570.97639,0.986,1,200,50000,16,0.693132442,0.670716779,156067630,1835446,12000,10000,2171,740,0,2000,1,0,mark,18874624,134246768,216829952
add_back_20pct,10000,10000,80,58258.46629,0.9885,1,200,50000,16,0.693132442,0.670716779,156067630,1835446,12000,10000,2171,740,0,2000,1,0,mark,18874624,134246768,216829952
add_back_20pct,10000,10000,160,50520.05466,0.993,1,200,50000,16,0.693132442,0.670716779,156067630,1835446,12000,10000,2171,740,0,2000,1,0,mark,18874624,134246768,216829952
