stage,active_vectors,index_elements,ef_search,qps,recall_at_k,mci_route_ratio,query_count,search_count,search_threads,build_seconds,mutation_seconds,index_memory_bytes,mci_memory_bytes,mci_total_nodes,mci_covered_nodes,mci_total_cliques,mci_delta_cliques,mci_retired_cliques,inactive_nodes,mci_raw_float_ratio,flush_seconds,remove_mode,vector_memory_bytes,graph_memory_bytes,stage_rss_bytes
initial_100pct,3241378,3241378,40,10030.72751,0.849,1,200,50000,16,593.9856357,0,6630404434,366154814,3241378,3241378,408484,0,0,0,1,0,force,4979687680,971850868,12899385344
initial_100pct,3241378,3241378,80,6540.380232,0.889,1,200,50000,16,593.9856357,0,6630404434,366154814,3241378,3241378,408484,0,0,0,1,0,force,4979687680,971850868,12899385344
initial_100pct,3241378,3241378,160,4004.38629,0.9225,1,200,50000,16,593.9856357,0,6630404434,366154814,3241378,3241378,408484,0,0,0,1,0,force,4979687680,971850868,12899385344
delete_10pct,2917240,2917240,40,10369.06988,0.843,1,200,50000,16,593.9856357,393.3009127,5969160404,275524880,2917240,2917240,408424,0,0,0,1,0,force,4480880896,904276556,12265242624
delete_10pct,2917240,2917240,80,6988.155757,0.8965,1,200,50000,16,593.9856357,393.3009127,5969160404,275524880,2917240,2917240,408424,0,0,0,1,0,force,4480880896,904276556,12265242624
delete_10pct,2917240,2917240,160,4524.682104,0.925,1,200,50000,16,593.9856357,393.3009127,5969160404,275524880,2917240,2917240,408424,0,0,0,1,0,force,4480880896,904276556,12265242624
delete_20pct,2593102,2593102,40,12228.89206,0.8415,1,200,50000,16,593.9856357,338.5641618,5468641714,240705626,2593102,2593102,408364,0,0,0,1,0,force,3983004928,943725784,11755466752
delete_20pct,2593102,2593102,80,8140.056726,0.8875,1,200,50000,16,593.9856357,338.5641618,5468641714,240705626,2593102,2593102,408364,0,0,0,1,0,force,3983004928,943725784,11755466752
delete_20pct,2593102,2593102,160,5222.276062,0.9235,1,200,50000,16,593.9856357,338.5641618,5468641714,240705626,2593102,2593102,408364,0,0,0,1,0,force,3983004928,943725784,11755466752
add_back_10pct,2917240,2917240,40,12238.82044,0.8425,1,200,50000,16,593.9856357,551.6169457,6042673532,337395816,2917240,2917240,523628,115264,0,0,1,0,force,4481089792,949897900,12278407168
add_back_10pct,2917240,2917240,80,7897.301466,0.8875,1,200,50000,16,593.9856357,551.6169457,6042673532,337395816,2917240,2917240,523628,115264,0,0,1,0,force,4481089792,949897900,12278407168
add_back_10pct,2917240,2917240,160,5006.397685,0.9265,1,200,50000,16,593.9856357,551.6169457,6042673532,337395816,2917240,2917240,523628,115264,0,0,1,0,force,4481089792,949897900,12278407168
add_back_20pct,3241378,3241378,40,12308.16673,0.841,1,200,50000,16,593.9856357,513.3044948,6723075684,348217288,3241378,3241378,601107,192743,0,0,1,0,force,4979687680,1094111812,12953980928
add_back_20pct,3241378,3241378,80,8294.048081,0.878,1,200,50000,16,593.9856357,513.3044948,6723075684,348217288,3241378,3241378,601107,192743,0,0,1,0,force,4979687680,1094111812,12953980928
add_back_20pct,3241378,3241378,160,5345.377851,0.909,1,200,50000,16,593.9856357,513.3044948,6723075684,348217288,3241378,3241378,601107,192743,0,0,1,0,force,4979687680,1094111812,12953980928
