stage,active_vectors,index_elements,ef_search,qps,recall_at_k,mci_route_ratio,query_count,search_count,search_threads,build_seconds,mutation_seconds,index_memory_bytes,mci_memory_bytes,mci_total_nodes,mci_covered_nodes,mci_total_cliques,mci_delta_cliques,mci_retired_cliques,inactive_nodes,mci_raw_float_ratio,flush_seconds,remove_mode,vector_memory_bytes,graph_memory_bytes,mci_total_memberships,mci_delta_extra_memberships,mci_avg_clique_size,mci_avg_memberships_per_node,avg_dist_cmp,avg_hops,avg_seed_count,incremental_join_ratio,incremental_added_mct,incremental_clique_max,delete_clique_size_threshold,delete_node_mct_threshold
initial_100pct,3241378,3241378,40,10225.95765,0.8495,1,200,10000,16,553.4651496,0,6630725394,367470954,3241378,3241378,407920,0,0,0,1,0,force,4979687680,971868920,19763358,0,48.44910431,6.0972085,2068.74,144.52,181,0.6000000238,3,50,3,3
initial_100pct,3241378,3241378,80,6705.906516,0.8895,1,200,10000,16,553.4651496,0,6630725394,367470954,3241378,3241378,407920,0,0,0,1,0,force,4979687680,971868920,19763358,0,48.44910431,6.0972085,3095.3,239.025,181,0.6000000238,3,50,3,3
initial_100pct,3241378,3241378,160,4325.981159,0.928,1,200,10000,16,553.4651496,0,6630725394,367470954,3241378,3241378,407920,0,0,0,1,0,force,4979687680,971868920,19763358,0,48.44910431,6.0972085,4697.555,412.21,181,0.6000000238,3,50,3,3
initial_100pct,3241378,3241378,320,2691.891965,0.945,1,200,10000,16,553.4651496,0,6630725394,367470954,3241378,3241378,407920,0,0,0,1,0,force,4979687680,971868920,19763358,0,48.44910431,6.0972085,7199.305,709.035,181,0.6000000238,3,50,3,3
delete_10pct,2917240,2917240,40,10864.97176,0.845,1,200,10000,16,553.4651496,349.2604308,5960109015,270651035,2917240,2917240,407863,0,0,0,1,0,force,4480880896,904151940,17791782,0,43.62195587,6.098840714,1886.64,145.78,171,0.6000000238,3,50,3,3
delete_10pct,2917240,2917240,80,7042.373995,0.8985,1,200,10000,16,553.4651496,349.2604308,5960109015,270651035,2917240,2917240,407863,0,0,0,1,0,force,4480880896,904151940,17791782,0,43.62195587,6.098840714,2869.03,246.055,171,0.6000000238,3,50,3,3
delete_10pct,2917240,2917240,160,4565.41963,0.928,1,200,10000,16,553.4651496,349.2604308,5960109015,270651035,2917240,2917240,407863,0,0,0,1,0,force,4480880896,904151940,17791782,0,43.62195587,6.098840714,4388.925,424.22,171,0.6000000238,3,50,3,3
delete_10pct,2917240,2917240,320,2863.297268,0.9475,1,200,10000,16,553.4651496,349.2604308,5960109015,270651035,2917240,2917240,407863,0,0,0,1,0,force,4480880896,904151940,17791782,0,43.62195587,6.098840714,6651.345,725.245,171,0.6000000238,3,50,3,3
delete_20pct,2593102,2593102,40,12404.42485,0.8415,1,200,10000,16,553.4651496,337.2291782,5486761139,262971515,2593102,2593102,407797,0,0,0,1,0,force,3983004928,943632248,15813625,0,38.77817917,6.098342896,1677.325,146.945,162,0.6000000238,3,50,3,3
delete_20pct,2593102,2593102,80,8107.319888,0.892,1,200,10000,16,553.4651496,337.2291782,5486761139,262971515,2593102,2593102,407797,0,0,0,1,0,force,3983004928,943632248,15813625,0,38.77817917,6.098342896,2554.355,247.1,162,0.6000000238,3,50,3,3
